Gene ID	SYMBOL	Fold Change(T/S)	q-value(%)	Component
201792_at	AEBP1	0.124	0	Stroma
212667_at	SPARC	0.064	0	Stroma
227705_at	TCEAL7	0.107	0	Stroma
212813_at	JAM3	0.111	0	Stroma
213905_x_at	BGN /// TSHZ1	0.064	0	Stroma
1558532_at	TPM1	0.256	0	Stroma
201150_s_at	TIMP3	0.072	0	Stroma
202765_s_at	FBN1	0.049	0	Stroma
1552289_a_at		0.088	0	Stroma
204912_at	IL10RA	0.246	0	Stroma
211203_s_at	CNTN1	0.046	0	Stroma
228540_at	QKI	0.238	0	Stroma
202238_s_at	NNMT	0.174	0	Stroma
1552658_a_at	NAV3	0.084	0	Stroma
244853_at		0.033	0	Stroma
239708_at	NBLA00301	0.178	0	Stroma
228082_at	ASAM	0.106	0	Stroma
240259_at	LOC646919 ///	0.121	0	Stroma
226311_at		0.105	0	Stroma
220092_s_at	ANTXR1	0.077	0	Stroma
201286_at	SDC1	0.105	0	Stroma
209901_x_at	AIF1	0.272	0	Stroma
244057_s_at	C10orf72	0.111	0	Stroma
221760_at	MAN1A1	0.105	0	Stroma
235318_at	FBN1	0.043	0	Stroma
209671_x_at	TRA@ /// TRAC	0.183	0	Stroma
205666_at	FMO1	0.154	0	Stroma
204823_at	NAV3	0.082	0	Stroma
204926_at	INHBA	0.068	0	Stroma
1552507_at	KCNE4	0.058	0	Stroma
224838_at	FOXP1	0.214	0	Stroma
202952_s_at	ADAM12	0.07	0	Stroma
201506_at	TGFBI	0.18	0	Stroma
205859_at	LY86	0.217	0	Stroma
228481_at	POSTN	0.189	0	Stroma
238592_at	PDLIM3	0.031	0	Stroma
202310_s_at	COL1A1	0.075	0	Stroma
239286_at		0.067	0	Stroma
1553043_a_at	CD300LF	0.181	0	Stroma
206439_at	DSPG3	0.019	0	Stroma
204359_at	FLRT2	0.068	0	Stroma
205479_s_at	PLAU	0.099	0	Stroma
207173_x_at	CDH11	0.046	0	Stroma
211597_s_at	HOP	0.11	0	Stroma
204007_at	FCGR3B	0.261	0	Stroma
225721_at	SYNPO2	0.235	0	Stroma
216044_x_at	FAM69A	0.267	0	Stroma
228335_at	CLDN11	0.093	0	Stroma
213001_at	ANGPTL2	0.157	0	Stroma
213095_x_at	AIF1	0.261	0	Stroma
213429_at		0.072	0	Stroma
200974_at	ACTA2	0.034	0	Stroma
212385_at		0.176	0	Stroma
223734_at	OSAP	0.073	0	Stroma
204222_s_at	GLIPR1	0.15	0	Stroma
226676_at	ZNF521	0.133	0	Stroma
225166_at	ARHGAP18	0.22	0	Stroma
205831_at	CD2	0.272	0	Stroma
212636_at	QKI	0.197	0	Stroma
223276_at	MST150	0.173	0	Stroma
211794_at	FYB	0.185	0	Stroma
201617_x_at	CALD1	0.317	0	Stroma
202403_s_at	COL1A2	0.101	0	Stroma
228964_at	PRDM1	0.159	0	Stroma
216920_s_at	TRGC2 /// TRGV2 /	0.17	0	Stroma
213247_at	SVEP1	0.055	0	Stroma
218162_at	OLFML3	0.093	0	Stroma
1556427_s_at	LOC221091	0.076	0	Stroma
212077_at	CALD1	0.251	0	Stroma
229357_at	ADAMTS5	0.151	0	Stroma
226210_s_at	MEG3	0.048	0	Stroma
223343_at	MS4A7	0.106	0	Stroma
232231_at	RUNX2	0.087	0	Stroma
219666_at	MS4A6A	0.136	0	Stroma
202664_at	WASPIP	0.11	0	Stroma
210987_x_at	TPM1	0.217	0	Stroma
227140_at		0.085	0	Stroma
235944_at	HMCN1	0.052	0	Stroma
203060_s_at	PAPSS2	0.12	0	Stroma
204052_s_at	SFRP4	0.027	0	Stroma
214492_at	SGCD	0.154	0	Stroma
203788_s_at	SEMA3C	0.186	0	Stroma
230925_at	APBB1IP	0.208	0	Stroma
207172_s_at	CDH11	0.048	0	Stroma
205065_at		0.064	0	Stroma
202628_s_at	SERPINE1	0.135	0	Stroma
37005_at	NBL1	0.135	0	Stroma
235821_at		0.093	0	Stroma
212473_s_at	MICAL2	0.145	0	Stroma
212489_at	COL5A1	0.042	0	Stroma
223809_at	RGS18	0.252	0	Stroma
241596_at	NUDT10	0.17	0	Stroma
1559393_at	ALDH1L2	0.204	0	Stroma
203570_at	LOXL1	0.149	0	Stroma
241780_at	CDH11	0.102	0	Stroma
209676_at	TFPI	0.161	0	Stroma
227660_at	ANTXR1	0.088	0	Stroma
226142_at	GLIPR1	0.134	0	Stroma
204879_at	PDPN	0.173	0	Stroma
230869_at		0.085	0	Stroma
215646_s_at	CSPG2	0.075	0	Stroma
203083_at	THBS2	0.075	0	Stroma
202957_at	HCLS1	0.244	0	Stroma
206201_s_at	MEOX2	0.092	0	Stroma
214293_at	11-Sep	0.113	0	Stroma
209473_at		0.156	0	Stroma
210992_x_at	FCGR2C	0.207	0	Stroma
203325_s_at	COL5A1	0.061	0	Stroma
204051_s_at	SFRP4	0.029	0	Stroma
220988_s_at	C1QTNF3	0.067	0	Stroma
210972_x_at	TRA@ /// TRDV2 ///	0.152	0	Stroma
205407_at	RECK	0.095	0	Stroma
215039_at	LOC339524	0.162	0	Stroma
206101_at	ECM2	0.073	0	Stroma
226810_at	C6orf155	0.351	0	Stroma
214927_at	ITGBL1	0.06	0	Stroma
226677_at	ZNF521	0.112	0	Stroma
227070_at	GLT8D2	0.059	0	Stroma
204774_at	EVI2A	0.137	0	Stroma
237945_at	LOC646590	0.168	0	Stroma
201616_s_at	CALD1	0.169	0	Stroma
200665_s_at	SPARC	0.145	0	Stroma
225202_at	RHOBTB3	0.118	0	Stroma
223122_s_at	SFRP2	0.082	0	Stroma
206756_at	CHST7	0.456	0	Stroma
37892_at	COL11A1	0.036	0	Stroma
242447_at	LOC285382	0.076	0	Stroma
224002_s_at	FKBP7	0.159	0	Stroma
235438_at	CYP7B1	0.204	0	Stroma
223204_at	C4orf18	0.088	0	Stroma
206584_at	LY96	0.114	0	Stroma
227058_at	FLJ14834	0.058	0	Stroma
221910_at		0.147	0	Stroma
224358_s_at	MS4A7	0.15	0	Stroma
231936_at	HOXC9	0.183	0	Stroma
214954_at	SUSD5	0.264	0	Stroma
221911_at	ETV1	0.053	0	Stroma
243864_at	CCDC80	0.064	0	Stroma
229802_at		0.044	0	Stroma
202742_s_at	PRKACB	0.207	0	Stroma
230263_s_at	DOCK5	0.35	0	Stroma
210511_s_at	INHBA	0.059	0	Stroma
204451_at	FZD1	0.101	0	Stroma
221718_s_at	AKAP13	0.249	0	Stroma
211312_s_at	WISP1	0.086	0	Stroma
205880_at	PRKD1	0.097	0	Stroma
203789_s_at	SEMA3C	0.197	0	Stroma
201615_x_at	CALD1	0.211	0	Stroma
206091_at	MATN3	0.053	0	Stroma
212764_at		0.065	0	Stroma
1552508_at	KCNE4	0.124	0	Stroma
229584_at	LRRK2	0.098	0	Stroma
213652_at	PCSK5	0.112	0	Stroma
212423_at	C10orf56	0.19	0	Stroma
202112_at	VWF	0.182	0	Stroma
204749_at	NAP1L3	0.219	0	Stroma
207016_s_at	ALDH1A2	0.108	0	Stroma
242979_at		0.311	0	Stroma
214247_s_at	DKK3	0.084	0	Stroma
204037_at	EDG2 /// LOC644923	0.153	0	Stroma
229523_at	TTMA	0.262	0	Stroma
213249_at	FBXL7	0.164	0	Stroma
236577_at		0.162	0	Stroma
226876_at	FAM101B	0.248	0	Stroma
219935_at	ADAMTS5	0.208	0	Stroma
1570469_at		0.077	0	Stroma
204320_at	COL11A1	0.042	0	Stroma
203473_at	SLCO2B1	0.28	0	Stroma
209335_at	DCN	0.05	0	Stroma
219552_at	SVEP1	0.1	0	Stroma
213909_at	LRRC15	0.084	0	Stroma
231518_at	LOC283867	0.135	0	Stroma
219777_at	GIMAP6	0.191	0	Stroma
221283_at	RUNX2	0.163	0	Stroma
38149_at	ARHGAP25	0.299	0	Stroma
229635_at	LOC643424	0.196	0	Stroma
230391_at		0.219	0	Stroma
242100_at	CSS3	0.091	0	Stroma
1553191_at	DST	0.056	0	Stroma
211395_x_at	FCGR2C	0.221	0	Stroma
223392_s_at	TSHZ3	0.201	0	Stroma
226372_at	CHST11	0.234	0	Stroma
212472_at	MICAL2	0.195	0	Stroma
204076_at	ENTPD4	0.413	0	Stroma
211651_s_at	LAMB1	0.089	0	Stroma
226930_at	FNDC1	0.05	0	Stroma
209621_s_at	PDLIM3	0.066	0	Stroma
244194_at		0.191	0	Stroma
201141_at	GPNMB	0.286	0	Stroma
213725_x_at	LOC283824	0.1	0	Stroma
213933_at	PTGER3	0.143	0	Stroma
230440_at	ZNF469	0.147	0	Stroma
228293_at	DEPDC7	0.155	0	Stroma
204006_s_at	FCGR3A /// FCGR3B	0.215	0	Stroma
230071_at	11-Sep	0.065	0	Stroma
212792_at	DPY19L1	0.274	0	Stroma
228699_at	NRP2	0.203	0	Stroma
231823_s_at	SH3PXD2B	0.273	0	Stroma
200742_s_at	TPP1	0.35	0	Stroma
223422_s_at	ARHGAP24	0.331	0	Stroma
1556138_a_at	COL5A1	0.12	0	Stroma
215787_at	ACTA2	0.088	0	Stroma
229669_at	LOC440416	0.266	0	Stroma
209897_s_at	SLIT2	0.346	0	Stroma
204337_at	RGS4	0.15	0	Stroma
203868_s_at	VCAM1	0.097	0	Stroma
205696_s_at	GFRA1	0.171	0	Stroma
205066_s_at	ENPP1	0.103	0	Stroma
207238_s_at	PTPRC	0.183	0	Stroma
205528_s_at	RUNX1T1	0.084	0	Stroma
206025_s_at	TNFAIP6	0.246	0	Stroma
218656_s_at	LHFP	0.105	0	Stroma
202311_s_at	COL1A1	0.105	0	Stroma
239769_at	CDH11	0.129	0	Stroma
210146_x_at	LILRB2	0.232	0	Stroma
238583_at	MSRB3	0.185	0	Stroma
221421_s_at	ADAMTS12	0.151	0	Stroma
221127_s_at		0.084	0	Stroma
238852_at	PRRX1	0.104	0	Stroma
212382_at		0.267	0	Stroma
222409_at	CORO1C	0.369	0	Stroma
230319_at		0.197	0	Stroma
229391_s_at	RP1-93H18.5	0.336	0	Stroma
229844_at		0.208	0	Stroma
219093_at	FLJ20701	0.09	0	Stroma
234104_at	DCN	0.234	0	Stroma
239786_at		0.125	0	Stroma
228187_at		0.275	0	Stroma
202663_at	WASPIP	0.133	0	Stroma
212606_at	WDFY3	0.36	0	Stroma
1561242_at		0.236	0	Stroma
226368_at	CHST11	0.245	0	Stroma
210073_at	ST8SIA1	0.134	0	Stroma
226834_at		0.057	0	Stroma
214454_at	ADAMTS2	0.194	0	Stroma
204114_at	NID2	0.101	0	Stroma
1552398_a_at	CLEC12A	0.183	0	Stroma
217762_s_at	RAB31	0.152	0	Stroma
202458_at	PRSS23	0.224	0	Stroma
1557143_at	CSMD2	0.144	0	Stroma
219427_at	FAT4	0.108	0	Stroma
205159_at	CSF2RB	0.225	0	Stroma
206666_at	GZMK	0.088	0	Stroma
204570_at	COX7A1	0.116	0	Stroma
227390_at	MEG3	0.138	0	Stroma
238419_at	PHLDB2	0.132	0	Stroma
203561_at	FCGR2A	0.203	0	Stroma
211887_x_at	MSR1	0.219	0	Stroma
212887_at	SEC23A	0.323	0	Stroma
232090_at	DNM3	0.067	0	Stroma
231042_s_at		0.227	0	Stroma
206275_s_at	MICAL2	0.227	0	Stroma
224724_at	SULF2	0.151	0	Stroma
1559584_a_at	C16orf54 /// LO	0.092	0	Stroma
225720_at	SYNPO2	0.086	0	Stroma
226905_at	FAM101B	0.11	0	Stroma
215051_x_at	AIF1	0.288	0	Stroma
229554_at		0.052	0	Stroma
204620_s_at	CSPG2	0.055	0	Stroma
205559_s_at	PCSK5	0.098	0	Stroma
222484_s_at	CXCL14	0.042	0	Stroma
230161_at	CD99	0.268	0	Stroma
203044_at	CHSY1	0.395	0	Stroma
209955_s_at	FAP	0.044	0	Stroma
203305_at	F13A1	0.099	0	Stroma
225895_at	SYNPO2	0.1	0	Stroma
211571_s_at	CSPG2	0.055	0	Stroma
219506_at	C1orf54	0.24	0	Stroma
226279_at	PRSS23	0.13	0	Stroma
236179_at		0.032	0	Stroma
215446_s_at	LOX	0.083	0	Stroma
242605_at	DCN	0.129	0	Stroma
221731_x_at	CSPG2	0.061	0	Stroma
213790_at		0.066	0	Stroma
225464_at	FRMD6	0.155	0	Stroma
226609_at	DCBLD1	0.202	0	Stroma
201069_at	MMP2	0.115	0	Stroma
232458_at	COL3A1	0.078	0	Stroma
201148_s_at	TIMP3	0.09	0	Stroma
202274_at	ACTG2	0.046	0	Stroma
206032_at	DSC3	0.086	0	Stroma
209721_s_at	HOM-TES-103	0.189	0	Stroma
203058_s_at	PAPSS2	0.12	0	Stroma
202465_at	PCOLCE	0.155	0	Stroma
235182_at	C20orf82	0.034	0	Stroma
218002_s_at	CXCL14	0.051	0	Stroma
225524_at	ANTXR2	0.062	0	Stroma
217764_s_at	RAB31	0.1	0	Stroma
207714_s_at	SERPINH1	0.309	0	Stroma
212386_at		0.198	0	Stroma
201147_s_at	TIMP3	0.095	0	Stroma
204719_at	ABCA8	0.071	0	Stroma
204135_at	DOC1	0.108	0	Stroma
202766_s_at	FBN1	0.052	0	Stroma
200897_s_at	PALLD	0.138	0	Stroma
237753_at		0.156	0	Stroma
200906_s_at	PALLD	0.149	0	Stroma
226777_at		0.106	0	Stroma
1567627_at	CD74	0.292	0	Stroma
224964_s_at	GNG2	0.124	0	Stroma
201110_s_at	THBS1	0.114	0	Stroma
228776_at	GJA7	0.114	0	Stroma
205433_at	BCHE	0.063	0	Stroma
220577_at	GVIN1	0.122	0	Stroma
1557241_a_at	SRPX2	0.203	0	Stroma
236035_at		0.067	0	Stroma
217428_s_at	COL10A1	0.044	0	Stroma
210764_s_at	CYR61	0.09	0	Stroma
235086_at	THBS1	0.104	0	Stroma
210832_x_at	PTGER3	0.118	0	Stroma
219815_at	GAL3ST4	0.269	0	Stroma
204463_s_at	EDNRA	0.095	0	Stroma
203903_s_at	HEPH	0.046	0	Stroma
238688_at	TPM1	0.242	0	Stroma
229218_at	COL1A2	0.065	0	Stroma
209892_at	FUT4	0.343	0	Stroma
213059_at	CREB3L1	0.103	0	Stroma
205547_s_at	TAGLN	0.117	0	Stroma
1557797_a_at	ZFHX1B	0.163	0	Stroma
212353_at	SULF1	0.146	0	Stroma
229991_s_at	SYTL4	0.154	0	Stroma
228396_at		0.095	0	Stroma
213004_at	ANGPTL2	0.136	0	Stroma
218718_at	PDGFC	0.206	0	Stroma
210809_s_at	POSTN	0.106	0	Stroma
229327_s_at		0.108	0	Stroma
210817_s_at	CALCOCO2	0.407	0	Stroma
219197_s_at	SCUBE2	0.087	0	Stroma
225481_at	FRMD6	0.119	0	Stroma
226047_at	MRVI1	0.073	0	Stroma
229247_at	FLJ37440	0.276	0	Stroma
209304_x_at	GADD45B	0.426	0	Stroma
210807_s_at	SLC16A7	0.387	0	Stroma
228573_at		0.098	0	Stroma
205685_at	CD86	0.389	0	Stroma
226211_at	MEG3	0.411	0	Stroma
200743_s_at	TPP1	0.311	0	Stroma
203185_at	RASSF2	0.178	0	Stroma
1557049_at	LOC149478	0.202	0	Stroma
215388_s_at	CFH /// CFHR1	0.076	0	Stroma
225688_s_at	PHLDB2	0.159	0	Stroma
209961_s_at	HGF	0.192	0	Stroma
229383_at		0.233	0	Stroma
230546_at	VASH1	0.421	0	Stroma
212588_at	PTPRC	0.181	0	Stroma
202501_at	MAPRE2	0.217	0	Stroma
242856_at		0.203	0	Stroma
219561_at	COPZ2	0.11	0	Stroma
202976_s_at	RHOBTB3	0.096	0	Stroma
238668_at		0.22	0	Stroma
202283_at	SERPINF1	0.08	0	Stroma
204452_s_at	FZD1	0.272	0	Stroma
204686_at	IRS1	0.339	0	Stroma
203753_at	TCF4	0.217	0	Stroma
233555_s_at	SULF2	0.155	0	Stroma
221019_s_at	COLEC12	0.088	0	Stroma
202665_s_at	WASPIP	0.152	0	Stroma
226658_at	PDPN	0.108	0	Stroma
36030_at	HOM-TES-103	0.147	0	Stroma
206116_s_at	TPM1	0.273	0	Stroma
1556128_a_at	RASGRF2	0.111	0	Stroma
229088_at		0.071	0	Stroma
1558803_at	LOC646638	0.187	0	Stroma
214615_at	P2RY10	0.394	0	Stroma
222101_s_at	DCHS1	0.103	0	Stroma
213160_at	DOCK2	0.356	0	Stroma
212681_at	EPB41L3	0.203	0	Stroma
225019_at	CAMK2D	0.246	0	Stroma
201621_at	NBL1	0.149	0	Stroma
227004_at	CDKL5	0.383	0	Stroma
227061_at		0.038	0	Stroma
1560397_s_at	KLHL6	0.206	0	Stroma
224733_at	CMTM3	0.21	0	Stroma
204298_s_at	LOX	0.088	0	Stroma
212585_at	OSBPL8	0.42	0	Stroma
213241_at	PLXNC1	0.148	0	Stroma
204035_at	SCG2	0.089	0	Stroma
205941_s_at	COL10A1	0.039	0	Stroma
241700_at	ZFHX4	0.17	0	Stroma
202741_at	PRKACB	0.17	0	Stroma
211795_s_at	FYB	0.131	0	Stroma
203877_at		0.197	0	Stroma
216235_s_at	EDNRA	0.1	0	Stroma
206420_at	IGSF6	0.278	0	Stroma
204464_s_at	EDNRA	0.072	0	Stroma
44790_s_at	C13orf18	0.215	0	Stroma
236858_s_at		0.043	0	Stroma
201670_s_at	MARCKS	0.204	0	Stroma
203131_at	PDGFRA	0.032	0	Stroma
205935_at	FOXF1	0.171	0	Stroma
221730_at	COL5A2	0.072	0	Stroma
228438_at	TRPA1	0.153	0	Stroma
213519_s_at	LAMA2	0.236	0	Stroma
240873_x_at	DAB2	0.138	0	Stroma
AFFX-HSAC07/X003	ACTB	0.407	0	Stroma
213566_at	RNASE6	0.253	0	Stroma
221729_at	COL5A2	0.065	0	Stroma
204220_at	GMFG	0.25	0	Stroma
204472_at	GEM	0.151	0	Stroma
203666_at	CXCL12	0.052	0	Stroma
216048_s_at	RHOBTB3	0.11	0	Stroma
209734_at	NCKAP1L	0.311	0	Stroma
235333_at	B4GALT6	0.424	0	Stroma
232024_at	GIMAP2	0.203	0	Stroma
228339_at	LOC641700	0.184	0	Stroma
1565892_at	C20orf82	0.34	0	Stroma
205422_s_at	ITGBL1	0.04	0	Stroma
210702_s_at	PTGIS	0.04	0	Stroma
229585_at	C9orf94	0.176	0	Stroma
228333_at		0.198	0	Stroma
202202_s_at	LAMA4	0.082	0	Stroma
203498_at	DSCR1L1	0.193	0	Stroma
223235_s_at	SMOC2	0.03	0	Stroma
210375_at	PTGER3	0.105	0.09	Stroma
203688_at	PKD2	0.246	0.09	Stroma
219747_at	FLJ23191	0.1	0.09	Stroma
231411_at	LHFP	0.098	0.09	Stroma
1552316_a_at	GIMAP1	0.151	0.09	Stroma
206960_at	GPR23	0.23	0.09	Stroma
228151_at		0.402	0.09	Stroma
209147_s_at	PPAP2A	0.318	0.09	Stroma
210848_at		0.382	0.09	Stroma
64064_at	GIMAP5	0.215	0.09	Stroma
204882_at	ARHGAP25	0.329	0.09	Stroma
1555745_a_at	LYZ	0.208	0.09	Stroma
214081_at	PLXDC1	0.245	0.09	Stroma
225566_at	NRP2	0.317	0.09	Stroma
208116_s_at	MAN1A1	0.127	0.09	Stroma
205518_s_at	CMAH	0.099	0.09	Stroma
1552960_at	LRRC15	0.291	0.09	Stroma
203665_at	HMOX1	0.289	0.09	Stroma
230214_at	MRVI1	0.092	0.09	Stroma
209687_at	CXCL12	0.066	0.09	Stroma
211458_s_at	GABARAPL1 /// GA	0.258	0.09	Stroma
204490_s_at	CD44	0.38	0.09	Stroma
201721_s_at	LAPTM5	0.324	0.09	Stroma
226338_at	TMEM55A	0.247	0.09	Stroma
223510_at	NRP2	0.278	0.09	Stroma
215059_at		0.33	0.09	Stroma
205991_s_at	PRRX1	0.072	0.09	Stroma
205330_at	MN1	0.105	0.09	Stroma
231697_s_at	TMEM49	0.379	0.09	Stroma
226818_at	MPEG1	0.171	0.09	Stroma
201669_s_at	MARCKS	0.158	0.09	Stroma
1555154_a_at	QKI	0.407	0.09	Stroma
234951_s_at	COL12A1	0.192	0.09	Stroma
212412_at	PDLIM5	0.18	0.09	Stroma
214836_x_at	IGKC /// IGKV1-5	0.1	0.09	Stroma
228372_at	C10orf128	0.249	0.09	Stroma
213455_at	LOC283677	0.242	0.09	Stroma
228071_at	GIMAP7	0.13	0.09	Stroma
212651_at	RHOBTB1	0.233	0	Stroma
227183_at	DKFZp586C0721	0.209	0	Stroma
213331_s_at	NEK1	0.335	0	Stroma
207315_at	CD226	0.304	0	Stroma
225241_at	CCDC80	0.088	0	Stroma
203180_at	ALDH1A3	0.088	0	Stroma
206129_s_at	ARSB	0.356	0	Stroma
225897_at		0.136	0	Stroma
208982_at	PECAM1	0.206	0	Stroma
204923_at	CXorf9	0.209	0	Stroma
203798_s_at	VSNL1	0.09	0	Stroma
232888_at	C20orf82	0.235	0	Stroma
1559263_s_at	ZC3H12D	0.322	0	Stroma
238617_at		0.085	0	Stroma
212732_at	MEG3	0.118	0	Stroma
223121_s_at	SFRP2	0.08	0	Stroma
208425_s_at	TANC2	0.354	0	Stroma
204575_s_at	MMP19 /// LOC6525	0.17	0	Stroma
206804_at	CD3G	0.208	0	Stroma
209200_at	MEF2C	0.162	0	Stroma
224817_at	SH3PXD2A	0.265	0	Stroma
225442_at		0.078	0	Stroma
206090_s_at	DISC1	0.239	0	Stroma
227719_at		0.288	0	Stroma
208423_s_at	MSR1	0.21	0	Stroma
230722_at	BNC2	0.279	0	Stroma
212671_s_at	HLA-DQA1 /// HLA-D	0.318	0	Stroma
226695_at	PRRX1	0.051	0	Stroma
205499_at	SRPX2	0.097	0	Stroma
224822_at	DLC1	0.193	0	Stroma
228367_at	ALPK2	0.121	0	Stroma
209708_at	MOXD1	0.072	0	Stroma
226112_at	SGCB	0.309	0	Stroma
225782_at	MSRB3	0.058	0	Stroma
212387_at		0.244	0	Stroma
225496_s_at	SYTL2	0.159	0	Stroma
229479_at	LOC646324	0.058	0	Stroma
231148_at	IGFL2	0.103	0	Stroma
225186_at	RAPH1	0.43	0	Stroma
231559_at	NNMT	0.242	0	Stroma
222020_s_at	HNT	0.083	0	Stroma
226751_at	C2orf32	0.101	0	Stroma
203716_s_at	DPP4	0.359	0	Stroma
201963_at	ACSL1	0.379	0	Stroma
218870_at	ARHGAP15	0.268	0	Stroma
201105_at	LGALS1	0.181	0	Stroma
227645_at	PIK3R5	0.4	0	Stroma
226982_at	ELL2	0.227	0	Stroma
207191_s_at	ISLR	0.132	0	Stroma
37012_at	CAPZB	0.465	0	Stroma
219519_s_at	SIGLEC1	0.295	0	Stroma
208131_s_at	PTGIS	0.04	0	Stroma
1567628_at	CD74	0.286	0	Stroma
228837_at		0.306	0	Stroma
227088_at	PDE5A	0.255	0	Stroma
225242_s_at	CCDC80	0.069	0	Stroma
1557080_s_at	ITGBL1	0.079	0	Stroma
228937_at	FLJ38725	0.378	0	Stroma
225387_at	TSPAN5	0.203	0	Stroma
215077_at		0.248	0	Stroma
236129_at		0.099	0	Stroma
1552309_a_at	NEXN	0.088	0.14	Stroma
218468_s_at	GREM1	0.132	0.14	Stroma
231879_at	COL12A1	0.169	0.14	Stroma
213692_s_at		0.286	0.14	Stroma
203104_at	CSF1R	0.236	0.14	Stroma
213975_s_at	LYZ /// LILRB1	0.223	0.14	Stroma
202291_s_at	MGP	0.14	0.28	Stroma
240440_at	NPL	0.447	0.28	Stroma
222146_s_at	TCF4	0.242	0.28	Stroma
210644_s_at	LAIR1	0.189	0.28	Stroma
228772_at	HNMT	0.162	0.28	Stroma
208789_at	PTRF	0.164	0.28	Stroma
206236_at	GPR4	0.337	0.28	Stroma
210889_s_at	FCGR2B	0.223	0.28	Stroma
206910_x_at	CFHR2	0.304	0.28	Stroma
226612_at	FLJ25076	0.218	0.28	Stroma
225171_at	ARHGAP18	0.219	0.28	Stroma
241706_at	CPNE8	0.351	0.28	Stroma
201028_s_at	CD99	0.282	0.28	Stroma
205269_at	LCP2	0.222	0.28	Stroma
210140_at	CST7	0.224	0.28	Stroma
228618_at	PEAR1	0.291	0.28	Stroma
226244_at	CLEC14A	0.298	0.28	Stroma
203242_s_at	PDLIM5	0.168	0.28	Stroma
202457_s_at	PPP3CA	0.461	0.28	Stroma
226731_at	PELO	0.29	0.28	Stroma
210831_s_at	PTGER3	0.27	0.28	Stroma
236281_x_at	HTR7	0.469	0.28	Stroma
205504_at	BTK	0.429	0.28	Stroma
205578_at	ROR2	0.162	0.28	Stroma
219874_at	SLC12A8	0.233	0.28	Stroma
212886_at	CCDC69	0.308	0.28	Stroma
212262_at	QKI	0.369	0.28	Stroma
236114_at	RUNX1	0.387	0.28	Stroma
218918_at	MAN1C1	0.333	0.28	Stroma
211380_s_at	PRKG1	0.214	0.28	Stroma
218376_s_at	MICAL1	0.428	0.28	Stroma
212592_at	IGJ	0.065	0.28	Stroma
210872_x_at	GAS7	0.228	0	Stroma
203167_at	TIMP2	0.29	0	Stroma
204834_at	FGL2	0.199	0	Stroma
227791_at	SLC9A9	0.223	0	Stroma
235279_at		0.338	0	Stroma
226103_at	NEXN	0.082	0	Stroma
217967_s_at	C1orf24	0.262	0	Stroma
227514_at	LOC162073	0.311	0	Stroma
212730_at	DMN	0.239	0	Stroma
203232_s_at	ATXN1	0.31	0	Stroma
201095_at	DAP	0.409	0	Stroma
219892_at	TM6SF1	0.329	0	Stroma
235471_at	C10orf72	0.173	0	Stroma
225763_at	RCSD1	0.225	0	Stroma
226136_at		0.18	0	Stroma
208325_s_at	AKAP13	0.245	0	Stroma
214560_at	FPRL2	0.285	0	Stroma
201605_x_at	CNN2	0.279	0	Stroma
228608_at	VGCNL1	0.131	0	Stroma
217053_x_at	ETV1	0.188	0	Stroma
204438_at	MRC1 /// MRC1	0.134	0	Stroma
226997_at		0.103	0	Stroma
44673_at	SIGLEC1	0.351	0	Stroma
230493_at	TMEM46	0.091	0	Stroma
219908_at	DKK2	0.113	0	Stroma
213496_at	LPPR4	0.083	0	Stroma
